VideoNumber,SubjID,TargID,ListID,ListNumb,GroundType,ChangeType,TargetResponse,ParticipantResponse,IsResponseCorrect
12,S55R,Targ11,L3_NCG,L3,NCG,Source,no,no,1
13,S55R,Targ14,L3_NCG,L3,NCG,Source,no,no,1
14,S55R,Targ16,L3_NCG,L3,NCG,Match,yes,yes,1
15,S55R,Targ1,L3_NCG,L3,NCG,Match,yes,yes,1
16,S55R,Targ9,L3_NCG,L3,NCG,Goal,no,no,1
17,S55R,Targ3,L3_NCG,L3,NCG,Goal,no,yes,0
18,S55R,Targ10,L3_NCG,L3,NCG,Match,yes,yes,1
1,S56R,Targ13,L1_NCG,L1,NCG,Source,no,yes,0
2,S56R,Targ2,L1_NCG,L1,NCG,Goal,no,no,1
3,S56R,Targ17,L1_NCG,L1,NCG,Goal,no,yes,0
4,S56R,Targ7,L1_NCG,L1,NCG,Source,no,yes,0
5,S56R,Targ5,L1_NCG,L1,NCG,Goal,no,yes,0
6,S56R,Targ15,L1_NCG,L1,NCG,Match,yes,yes,1
7,S56R,Targ6,L1_NCG,L1,NCG,Match,yes,yes,1
8,S56R,Targ4,L1_NCG,L1,NCG,Source,no,yes,0
9,S56R,Targ12,L1_NCG,L1,NCG,Match,yes,no,0
10,S56R,Targ8,L1_NCG,L1,NCG,Goal,no,no,1
11,S56R,Targ18,L1_NCG,L1,NCG,Match,yes,yes,1
12,S56R,Targ11,L1_NCG,L1,NCG,Goal,no,no,1
13,S56R,Targ14,L1_NCG,L1,NCG,Goal,no,no,1
14,S56R,Targ16,L1_NCG,L1,NCG,Source,no,yes,0
15,S56R,Targ1,L1_NCG,L1,NCG,Source,no,yes,0
16,S56R,Targ9,L1_NCG,L1,NCG,Match,yes,yes,1
17,S56R,Targ3,L1_NCG,L1,NCG,Match,yes,yes,1
18,S56R,Targ10,L1_NCG,L1,NCG,Source,no,no,1
1,S58R,Targ13,L2_NCG,L2,NCG,Goal,no,no,1
2,S58R,Targ2,L2_NCG,L2,NCG,Match,yes,yes,1
3,S58R,Targ17,L2_NCG,L2,NCG,Match,yes,yes,1
4,S58R,Targ7,L2_NCG,L2,NCG,Goal,no,yes,0
5,S58R,Targ5,L2_NCG,L2,NCG,Match,yes,no,0
6,S58R,Targ15,L2_NCG,L2,NCG,Source,no,no,1
7,S58R,Targ6,L2_NCG,L2,NCG,Source,no,yes,0
8,S58R,Targ4,L2_NCG,L2,NCG,Goal,no,yes,0
9,S58R,Targ12,L2_NCG,L2,NCG,Source,no,no,1
10,S58R,Targ8,L2_NCG,L2,NCG,Match,yes,no,0
11,S58R,Targ18,L2_NCG,L2,NCG,Source,no,yes,0
12,S58R,Targ11,L2_NCG,L2,NCG,Match,yes,yes,1
13,S58R,Targ14,L2_NCG,L2,NCG,Match,yes,yes,1
14,S58R,Targ16,L2_NCG,L2,NCG,Goal,no,no,1
15,S58R,Targ1,L2_NCG,L2,NCG,Goal,no,yes,0
16,S58R,Targ9,L2_NCG,L2,NCG,Source,no,yes,0
17,S58R,Targ3,L2_NCG,L2,NCG,Source,no,no,1
18,S58R,Targ10,L2_NCG,L2,NCG,Goal,no,no,1
1,S59R,Targ13,L1_CG,L1,CG,Source,no,yes,0
2,S59R,Targ2,L1_CG,L1,CG,Goal,no,yes,0
3,S59R,Targ17,L1_CG,L1,CG,Goal,no,yes,0
4,S59R,Targ7,L1_CG,L1,CG,Source,no,no,1
5,S59R,Targ5,L1_CG,L1,CG,Goal,no,no,1
6,S59R,Targ15,L1_CG,L1,CG,Match,yes,yes,1
7,S59R,Targ6,L1_CG,L1,CG,Match,yes,yes,1
8,S59R,Targ4,L1_CG,L1,CG,Source,no,no,1
9,S59R,Targ12,L1_CG,L1,CG,Match,yes,yes,1
10,S59R,Targ8,L1_CG,L1,CG,Goal,no,no,1
11,S59R,Targ18,L1_CG,L1,CG,Match,yes,yes,1
12,S59R,Targ11,L1_CG,L1,CG,Goal,no,no,1
13,S59R,Targ14,L1_CG,L1,CG,Goal,no,no,1
14,S59R,Targ16,L1_CG,L1,CG,Source,no,yes,0
15,S59R,Targ1,L1_CG,L1,CG,Source,no,no,1
16,S59R,Targ9,L1_CG,L1,CG,Match,yes,yes,1
17,S59R,Targ3,L1_CG,L1,CG,Match,yes,yes,1
18,S59R,Targ10,L1_CG,L1,CG,Source,no,no,1
